sep=;
Date;High price;Low price;Closing price;All trades average price;Total volume;Turnover;Duration;Yield;Yield calculation price;Nasdaq CPH Consolidated reference price;Nasdaq CPH consolidated volume;Nasdaq CPH consolidated turnover;
2018-01-16;;;108.777;;;;5.657;0.003;108.777;108.281;;;
2018-01-17;;;108.777;;;;5.657;0.003;108.777;108.300;;;
2018-01-18;;;108.777;;;;5.657;0.003;108.777;;;;
2018-01-19;;;108.777;;;;5.657;0.003;108.777;108.130;;;
2018-01-22;;;108.777;;;;5.657;0.003;108.777;108.262;;;
2018-01-23;;;108.777;;;;5.657;0.003;108.777;;;;
2018-01-24;;;108.777;;;;5.657;0.003;108.777;108.158;;;
2018-01-25;;;108.777;;;;5.657;0.003;108.777;108.000;;;
2018-01-26;;;108.777;;;;5.657;0.003;108.777;;;;
2018-01-29;;;108.777;;;;5.581;0.171;107.648;107.648;;;
2018-01-30;;;108.777;;;;5.579;0.172;107.640;107.640;;;
2018-01-31;;;108.777;;;;5.576;0.181;107.581;107.581;;;
2018-02-01;;;108.777;;;;5.576;0.181;107.581;;;;
2018-02-02;;;108.777;;;;5.565;0.211;107.385;107.385;;;
2018-02-05;;;108.777;;;;5.562;0.195;107.481;107.481;;;
2018-02-06;107.600;107.600;107.600;107.600;100000;107600;5.559;0.171;107.620;107.620;;;
2018-02-07;;;107.600;;;;5.557;0.196;107.466;107.466;;;
2018-02-08;;;107.600;;;;5.557;0.196;107.466;;;;
2018-02-09;;;107.600;;;;5.545;0.258;107.085;107.085;;;
2018-02-12;;;107.600;;;;5.545;0.258;107.085;;;;
2018-02-13;;;107.600;;;;5.540;0.252;107.113;107.113;;;
2018-02-14;106.400;106.400;106.400;106.920;103803.24;110446.65;5.537;0.257;107.080;107.080;;;
2018-02-15;;;106.400;;;;5.537;0.257;107.080;;;;
2018-02-16;;;106.400;;;;5.537;0.257;107.080;;;;
2018-02-19;;;106.400;;;;5.523;0.293;106.850;106.850;;;
2018-02-20;;;106.400;;;;5.520;0.269;106.990;106.990;;;
2018-02-21;;;106.400;;;;5.518;0.253;107.082;107.082;;;
2018-02-22;;;106.400;;;;5.510;0.245;107.115;107.115;;;
2018-02-23;;;106.400;;;;5.507;0.196;107.406;107.406;;;
2018-02-26;;;106.400;;;;5.504;0.198;107.390;107.390;;;
2018-02-27;;;106.400;;;;5.502;0.196;107.397;107.397;;;
2018-02-28;107.390;107.390;107.390;107.390;88000000;94503200;5.499;0.193;107.410;107.410;;;
2018-03-01;;;107.390;;;;5.491;0.167;107.555;107.555;;;
2018-03-02;;;107.390;;;;5.488;0.153;107.635;107.635;;;
2018-03-05;;;107.390;;;;5.488;0.153;107.635;;;;
2018-03-06;;;107.390;;;;5.483;0.196;107.370;107.370;;;
2018-03-07;;;107.390;;;;5.483;0.196;107.370;;;;
2018-03-08;;;107.390;;;;5.472;0.197;107.352;107.352;;;
2018-03-09;;;107.390;;;;5.469;0.170;107.510;107.510;;;
2018-03-12;;;107.390;;;;5.469;0.170;107.510;;;;
2018-03-13;;;107.390;;;;5.469;0.170;107.510;;;;
2018-03-14;;;107.390;;;;5.461;0.118;107.800;107.800;;;
2018-03-15;;;107.390;;;;5.453;0.101;107.890;107.890;;;
2018-03-16;;;107.390;;;;5.453;0.101;107.890;;;;
2018-03-19;;;107.390;;;;5.453;0.101;107.890;;;;
2018-03-20;;;107.390;;;;5.445;0.121;107.760;107.760;;;
2018-03-21;;;107.390;;;;5.445;0.121;107.760;;;;
2018-03-22;;;107.390;;;;5.434;0.085;107.960;107.960;;;
2018-03-23;;;107.390;;;;5.434;0.085;107.960;;;;
2018-03-26;;;107.390;;;;5.429;0.067;108.060;108.060;;;
2018-03-27;;;107.390;;;;5.429;0.067;108.060;;;;
2018-03-28;;;107.390;;;;5.410;0.014;108.340;108.340;;;
2018-04-03;;;107.390;;;;5.410;0.014;108.340;;;;
2018-04-04;;;107.390;;;;5.404;0.023;108.280;108.280;;;
2018-04-05;;;107.390;;;;5.404;0.023;108.280;;;;
2018-04-06;;;107.390;;;;5.394;0.000;108.400;108.400;;;
2018-04-09;;;107.390;;;;5.394;0.000;108.400;;;;
2018-04-10;;;107.390;;;;5.388;-0.008;108.440;108.440;;;
2018-04-11;;;107.390;;;;5.388;-0.008;108.440;;;;
2018-04-12;;;107.390;;;;5.388;-0.008;108.440;;;;
2018-04-13;;;107.390;;;;5.374;0.029;108.200;108.200;;;
2018-04-16;;;107.390;;;;5.371;0.039;108.140;108.140;;;
2018-04-17;;;107.390;;;;5.371;0.039;108.140;;;;
2018-04-18;108.190;108.190;108.190;108.190;50000000;54095000;5.366;0.028;108.193;108.193;;;
2018-04-19;;;108.190;;;;5.366;0.028;108.193;;;;
2018-04-20;;;108.190;;;;5.355;0.067;107.950;107.950;;;
2018-04-23;;;108.190;;;;5.355;0.067;107.950;;;;
2018-04-24;;;108.190;;;;5.355;0.067;107.950;;;;
2018-04-25;;;108.190;;;;5.355;0.067;107.950;;;;
2018-04-26;;;108.190;;;;5.355;0.067;107.950;;;;
2018-04-30;;;108.190;;;;5.333;0.043;108.059;108.059;;;
2018-05-01;;;108.190;;;;5.330;0.037;108.090;108.090;;;
2018-05-02;;;108.190;;;;5.330;0.037;108.090;;;;
2018-05-03;;;108.190;;;;5.319;0.022;108.164;108.164;;;
2018-05-04;;;108.190;;;;5.317;0.037;108.073;108.073;;;
2018-05-07;;;108.190;;;;5.317;0.037;108.073;;;;
2018-05-08;;;108.190;;;;5.317;0.037;108.073;;;;
2018-05-09;;;108.190;;;;5.297;0.039;108.030;108.030;;;
2018-05-14;;;108.190;;;;5.297;0.039;108.030;;;;
2018-05-15;107.660;107.660;107.660;107.660;50000;53830;5.292;0.099;107.680;107.680;;;
2018-05-16;;;107.660;;;;5.292;0.099;107.680;;;;
2018-05-17;;;107.660;;;;5.292;0.099;107.680;;;;
2018-05-18;;;107.660;;;;5.292;0.099;107.680;;;;
2018-05-22;;;107.660;;;;5.273;0.050;107.932;107.932;;;
2018-05-23;;;107.660;;;;5.270;0.003;108.200;108.200;;;
2018-05-24;;;107.660;;;;5.270;0.003;108.200;;;;
2018-05-25;;;107.660;;;;5.260;-0.052;108.497;108.497;;;
2018-05-28;;;107.660;;;;5.260;-0.052;108.497;;;;
2018-05-29;109.000;109.000;109.000;109.000;21000;22890;5.255;-0.163;109.130;109.130;;;
2018-05-30;;;109.000;;;;5.252;-0.129;108.930;108.930;;;
2018-05-31;;;109.000;;;;5.244;-0.109;108.800;108.800;;;
2018-06-01;;;109.000;;;;5.244;-0.109;108.800;;;;
2018-06-04;;;109.000;;;;5.235;-0.077;108.604;108.604;;;
2018-06-06;;;109.000;;;;5.235;-0.077;108.604;;;;
2018-06-07;;;109.000;;;;5.224;-0.029;108.309;108.309;;;
2018-06-08;;;109.000;;;;5.222;-0.084;108.619;108.619;;;
2018-06-11;;;;;;;5.222;-0.084;108.619;;;;
2018-06-12;108.130;108.130;108.130;;;;5.215;0.001;108.130;108.130;100000.000;108130.000;
2018-06-13;108.200;108.200;108.200;;;;5.213;-0.013;108.200;108.200;73000000.000;78986000.000;
2018-06-14;108.020;108.020;108.020;;;;5.204;0.017;108.020;108.020;1000000.000;1080200.000;
2018-06-15;108.710;108.710;108.710;;;;5.203;-0.105;108.710;108.710;25750000.000;27992825.000;
2018-06-18;;;;;;;5.203;-0.105;108.710;;;;
2018-06-19;;;;;;;5.203;-0.105;108.710;;;;
2018-06-20;108.775;108.775;108.775;;;;5.194;-0.119;108.775;108.775;5000000.000;5438750.000;
2018-06-21;;;;;;;5.194;-0.119;108.775;;;;
2018-06-25;109.030;109.030;109.030;;;;5.181;-0.167;109.030;109.030;25000000.000;27257500.000;
2018-06-26;;;;;;;5.181;-0.167;109.030;;;;
2018-06-27;;;;;;;5.181;-0.167;109.030;;;;
2018-06-28;109.014;108.989;108.989;;;;5.167;-0.168;109.008;109.008;39500000.000;43058030.000;
2018-06-29;109.040;109.040;109.040;;;;5.165;-0.174;109.040;109.040;55000000.000;59972000.000;
2018-07-02;109.130;109.043;109.043;;;;5.162;-0.189;109.122;109.122;605000.000;660188.650;
2018-07-03;109.002;108.994;108.994;;;;5.159;-0.169;108.999;108.999;1350000.000;1471484.600;
2018-07-04;;;;;;;5.159;-0.169;108.999;;;;
2018-07-05;108.902;108.869;108.902;;;;5.148;-0.154;108.901;108.901;5210000.000;5673724.900;
2018-07-06;109.000;109.000;109.000;;;;5.145;-0.173;109.000;109.000;70000000.000;76300000.000;
2018-07-09;;;;;;;5.145;-0.173;109.000;;;;
2018-07-10;108.948;108.948;108.948;;;;5.140;-0.165;108.948;108.948;1950000.000;2124486.000;
2018-07-11;;;;;;;5.140;-0.165;108.948;;;;
2018-07-12;108.900;108.900;108.900;;;;5.129;-0.160;108.900;108.900;15000000.000;16335000.000;
2018-07-13;;;;;;;5.129;-0.160;108.900;;;;
