Date,Open,High,Low,Close,Adj Close,Volume
1990-12-31,7.218750,7.312500,6.968750,7.062500,4.025537,9050400
1991-01-07,6.968750,7.093750,6.718750,6.781250,3.865228,10651600
1991-01-14,6.562500,7.375000,6.531250,7.312500,4.168034,21402000
1991-01-21,7.250000,7.281250,6.906250,7.093750,4.043351,18918800
1991-01-28,7.093750,7.281250,6.593750,7.156250,4.078976,44758400
1991-02-04,7.218750,7.437500,7.125000,7.187500,4.096785,32687200
1991-02-11,7.281250,8.156250,7.281250,7.875000,4.488653,41382000
1991-02-18,7.937500,8.093750,7.718750,7.781250,4.435216,20631200
1991-02-25,7.906250,8.093750,7.593750,8.000000,4.559900,22193200
1991-03-04,8.062500,8.750000,8.031250,8.500000,4.844897,35303600
1991-03-11,8.437500,8.968750,8.218750,8.625000,4.929035,31596400
1991-03-18,8.593750,8.750000,8.187500,8.406250,4.804023,22002000
1991-03-25,8.437500,8.812500,8.343750,8.687500,4.964753,12933200
1991-04-01,8.656250,9.000000,8.468750,8.937500,5.107624,18842000
1991-04-08,8.843750,9.000000,8.531250,8.781250,5.018331,12388400
1991-04-15,8.843750,8.906250,8.562500,8.625000,4.929035,19594400
1991-04-22,8.625000,8.906250,8.593750,8.593750,4.911177,21717600
1991-04-29,8.593750,8.625000,8.281250,8.375000,4.786165,22333200
1991-05-06,8.375000,8.625000,8.250000,8.468750,4.839743,14457600
1991-05-13,8.468750,8.468750,8.156250,8.406250,4.804023,16858800
1991-05-20,8.468750,8.718750,8.375000,8.437500,4.821880,11194800
1991-05-27,8.500000,8.875000,8.437500,8.750000,5.000472,14763600
1991-06-03,8.750000,8.812500,8.437500,8.531250,4.888495,13860000
1991-06-10,8.500000,8.687500,8.312500,8.312500,4.763147,16925600
1991-06-17,8.312500,8.343750,7.812500,8.031250,4.601990,27674400
1991-06-24,8.000000,8.375000,7.843750,8.218750,4.709428,15765200
1991-07-01,8.312500,8.406250,8.218750,8.250000,4.727335,8810400
1991-07-08,8.187500,8.343750,8.156250,8.250000,4.727335,11833200
1991-07-15,8.218750,8.625000,8.218750,8.562500,4.906400,15745600
1991-07-22,8.531250,8.593750,8.156250,8.187500,4.691521,13917200
1991-07-29,8.156250,8.281250,7.875000,7.937500,4.548270,20558000
1991-08-05,7.968750,8.312500,7.875000,8.156250,4.673616,19853200
1991-08-12,8.156250,8.312500,7.968750,8.000000,4.584084,16115200
1991-08-19,7.562500,8.250000,7.500000,8.187500,4.691521,28374000
1991-08-26,8.187500,8.343750,8.093750,8.156250,4.673616,14250400
1991-09-02,8.156250,8.218750,7.750000,7.843750,4.507311,12784400
1991-09-09,7.875000,8.281250,7.875000,8.156250,4.686883,15906800
1991-09-16,8.125000,8.406250,8.062500,8.312500,4.776668,16244800
1991-09-23,8.312500,8.937500,8.281250,8.781250,5.046030,28654000
1991-09-30,8.812500,8.937500,8.687500,8.781250,5.046030,11798000
1991-10-07,8.750000,8.843750,8.531250,8.812500,5.063988,11761200
1991-10-14,8.812500,9.375000,8.750000,9.312500,5.351306,21786400
1991-10-21,9.343750,9.343750,8.468750,8.562500,4.920329,18325600
1991-10-28,8.687500,8.968750,8.531250,8.656250,4.974201,13652000
1991-11-04,8.656250,8.937500,8.531250,8.906250,5.117859,11393600
1991-11-11,8.906250,9.000000,8.531250,8.531250,4.902371,13347200
1991-11-18,8.562500,8.750000,8.312500,8.437500,4.848497,16967600
1991-11-25,8.375000,8.562500,8.218750,8.406250,4.830543,7334800
1991-12-02,8.343750,8.625000,8.281250,8.593750,4.951637,10524400
1991-12-09,8.562500,8.812500,8.500000,8.750000,5.041667,11076400
1991-12-16,8.875000,9.343750,8.625000,9.312500,5.365773,22522000
1991-12-23,9.250000,9.968750,9.218750,9.718750,5.599852,14898800
1991-12-30,9.812500,9.968750,9.500000,9.843750,5.671874,17464000
1992-01-06,9.906250,10.718750,9.812500,10.500000,6.050000,32507600
1992-01-13,10.437500,10.781250,10.000000,10.250000,5.905952,22935600
1992-01-20,10.218750,10.875000,10.125000,10.718750,6.176040,18109600
1992-01-27,10.750000,11.250000,10.500000,10.875000,6.266069,21824400
1992-02-03,10.812500,11.062500,10.718750,10.937500,6.302083,14763600
1992-02-10,10.937500,11.093750,10.593750,10.718750,6.176040,12618800
1992-02-17,10.625000,10.781250,10.156250,10.718750,6.176040,13919200
1992-02-24,10.687500,10.875000,10.093750,10.125000,5.833929,20135200
1992-03-02,10.218750,10.531250,9.843750,10.000000,5.774590,17618800
1992-03-09,10.062500,10.812500,9.843750,10.656250,6.153545,18010000
1992-03-16,10.656250,11.093750,10.562500,10.781250,6.225727,17333600
1992-03-23,10.656250,10.875000,10.218750,10.250000,5.918952,13503600
1992-03-30,10.250000,10.468750,9.843750,10.343750,5.973090,15762800
1992-04-06,10.406250,10.718750,10.281250,10.468750,6.045272,16364800
1992-04-13,10.468750,10.687500,10.125000,10.625000,6.135499,13740400
1992-04-20,10.562500,11.093750,10.031250,11.000000,6.352048,17351600
1992-04-27,11.000000,11.250000,10.718750,10.843750,6.261820,18052000
1992-05-04,10.843750,11.218750,10.843750,11.125000,6.424227,13269600
1992-05-11,11.125000,11.406250,10.687500,10.781250,6.225727,14380400
1992-05-18,10.875000,11.718750,10.875000,11.468750,6.622728,21634000
1992-05-25,11.437500,11.781250,11.125000,11.718750,6.767096,15702000
1992-06-01,11.687500,11.875000,11.375000,11.625000,6.727908,15124000
1992-06-08,11.656250,11.656250,11.000000,11.187500,6.474712,12459200
1992-06-15,11.187500,11.406250,10.968750,11.375000,6.583224,15204000
1992-06-22,11.343750,11.593750,11.156250,11.531250,6.673653,12600800
1992-06-29,11.531250,11.812500,11.406250,11.625000,6.727908,12388400
1992-07-06,11.625000,11.750000,10.937500,11.750000,6.800254,18998000
