Mat. Date;Sold; Sold Amount ;Bought; Bought Amount ; Rate 
02-01-2018;ILS;13.041.891;DKK;23.333.248;1,7891
03-01-2018;THB;22.832.553;DKK;4.349.601;0,1905
04-01-2018;RON;2.152.050;DKK;3.435.963;1,5966
04-01-2018;DKK;25.272.000;AED;15.000.000;1,6848
04-01-2018;EUR;24.869.046;USD;30.000.000;1,2063
05-01-2018;HRK;10.200.869;DKK;10.187.404;0,9987
05-01-2018;EUR;24.905.320;USD;30.000.000;1,2046
08-01-2018;SEK;20.000.000;DKK;15.162.600;0,7581
10-01-2018;USD;50.000.000;DKK;312.138.845;6,2428
11-01-2018;GBP;10.000.000;DKK;84.216.326;8,4216
11-01-2018;GBP;4.000.000;DKK;33.532.981;8,3832
11-01-2018;USD;30.000.000;EUR;24.859.212;1,2068
11-01-2018;JPY;1.000.000.000;DKK;55.433.000;0,0554
11-01-2018;USD;50.000.000;DKK;312.116.500;6,2423
12-01-2018;CAD;5.000.000;DKK;24.679.863;4,936
12-01-2018;DKK;1.568.242;KES;25.729.968;0,061
12-01-2018;USD;50.000.000;DKK;310.492.000;6,2098
12-01-2018;DKK;310.362.000;USD;50.000.000;6,2072
16-01-2018;DKK;5.871.272;MAD;8.770.423;0,6694
16-01-2018;DKK;929.621;INR;9.426.100;0,0986
16-01-2018;USD;50.000.000;DKK;309.654.000;6,1931
16-01-2018;USD;50.000.000;DKK;309.628.000;6,1926
16-01-2018;HUF;500.000.000;DKK;12.060.000;0,0241
16-01-2018;JPY;1.000.000.000;DKK;55.063.000;0,0551
16-01-2018;DKK;55.064.000;JPY;1.000.000.000;0,0551
17-01-2018;USD;50.000.000;DKK;303.889.000;6,0778
17-01-2018;DKK;38.387.300;JPY;700.000.000;0,0548
18-01-2018;RON;2.156.802;DKK;3.455.844;1,6023
18-01-2018;TRY;15.000.000;DKK;24.048.000;1,6032
18-01-2018;EUR;7.407.462;JPY;1.000.000.000;134,999
18-01-2018;DKK;305.158.500;USD;50.000.000;6,1032
18-01-2018;USD;50.000.000;DKK;305.082.845;6,1017
22-01-2018;DKK;6.642.000;AED;4.000.000;1,6605
22-01-2018;USD;50.000.000;DKK;304.180.000;6,0836
22-01-2018;USD;50.000.000;DKK;304.274.000;6,0855
22-01-2018;USD;50.000.000;DKK;303.697.095;6,0739
22-01-2018;USD;50.000.000;DKK;303.872.095;6,0774
23-01-2018;DKK;1.319.003;INR;13.755.517;0,0959
23-01-2018;DKK;570.720;INR;5.949.586;0,0959
23-01-2018;DKK;134.563;RSD;2.136.936;0,063
23-01-2018;EUR;7.378.712;JPY;1.000.000.000;135,525
25-01-2018;USD;50.000.000;DKK;303.722.500;6,0745
26-01-2018;DKK;303.702.810;USD;50.000.000;6,0741
26-01-2018;DKK;240.466.800;USD;40.000.000;6,0117
29-01-2018;DKK;94.610.000;CNH;100.000.000;0,9461
29-01-2018;DKK;94.610.000;CNH;100.000.000;0,9461
29-01-2018;HRK;48.701;DKK;48.745;1,0009
30-01-2018;USD;30.000.000;EUR;24.869.798;1,2063
31-01-2018;DKK;126.870.023;GBP;15.000.000;8,458
31-01-2018;RON;2.174.733;DKK;3.469.568;1,5954
31-01-2018;DKK;216.452;RSD;3.443.396;0,0629
31-01-2018;USD;50.000.000;DKK;299.737.245;5,9947
31-01-2018;USD;50.000.000;DKK;299.751.745;5,995
31-01-2018;USD;50.000.000;DKK;299.665.245;5,9933
31-01-2018;USD;30.000.000;DKK;179.741.997;5,9914
01-02-2018;DKK;4.663.391;RSD;74.170.425;0,0629
01-02-2018;RSD;55.591.859;DKK;3.495.283;0,0629
01-02-2018;USD;50.000.000;DKK;298.683.145;5,9737
02-02-2018;USD;50.000.000;DKK;298.623.500;5,9725
02-02-2018;USD;50.000.000;DKK;298.672.000;5,9734
02-02-2018;USD;50.000.000;DKK;298.751.500;5,975
02-02-2018;USD;50.000.000;DKK;298.811.240;5,9762
05-02-2018;DKK;21.700.107;AED;13.272.236;1,635
06-02-2018;HRK;8.095.459;DKK;8.093.840;0,9998
06-02-2018;RSD;14.646.959;DKK;910.704;0,0622
06-02-2018;TRY;10.000.000;DKK;15.861.000;1,5861
06-02-2018;SEK;50.000.000;DKK;37.897.000;0,7579
07-02-2018;SGD;4.000.000;DKK;18.194.400;4,5486
07-02-2018;DKK;36.400.000;SGD;8.000.000;4,55
08-02-2018;DKK;301.436.500;USD;50.000.000;6,0287
08-02-2018;DKK;27.538.500;JPY;500.000.000;0,0551
08-02-2018;USD;50.000.000;DKK;301.495.095;6,0299
08-02-2018;USD;50.000.000;DKK;301.693.095;6,0339
09-02-2018;GBP;3.000.000;DKK;25.296.992;8,4323
13-02-2018;DKK;3.433.898;MAD;5.170.210;0,6642
14-02-2018;GBP;5.000.000;DKK;42.001.000;8,4002
14-02-2018;DKK;16.049.889;RON;10.019.908;1,6018
14-02-2018;RON;2.179.484;DKK;3.483.252;1,5982
15-02-2018;GBP;10.000.000;DKK;83.859.000;8,3859
15-02-2018;JPY;800.000.000;DKK;44.939.200;0,0562
15-02-2018;DKK;28.074.000;JPY;500.000.000;0,0561
15-02-2018;DKK;6.606.364;AED;4.021.650;1,6427
16-02-2018;USD;35.000.000;DKK;219.784.023;6,2795
16-02-2018;USD;35.000.000;DKK;219.767.776;6,2791
16-02-2018;DKK;9.551.223;RON;5.965.041;1,6012
16-02-2018;DKK;9.367.670;RON;5.850.406;1,6012
16-02-2018;DKK;242.299.600;USD;40.000.000;6,0575
16-02-2018;JPY;1.000.000.000;EUR;7.575.758;132
16-02-2018;DKK;39.307.800;JPY;700.000.000;0,0562
16-02-2018;DKK;16.850.100;JPY;300.000.000;0,0562
20-02-2018;USD;50.000.000;DKK;298.276.000;5,9655
20-02-2018;DKK;2.859.633;RSD;45.168.743;0,0633
20-02-2018;TRY;10.000.000;DKK;15.916.000;1,5916
20-02-2018;USD;50.000.000;DKK;298.713.000;5,9743
21-02-2018;JPY;600.000.000;DKK;33.779.400;0,0563
21-02-2018;DKK;22.513.200;JPY;400.000.000;0,0563
22-02-2018;DKK;181.315.500;USD;30.000.000;6,0439
23-02-2018;DKK;120.416.210;USD;20.000.000;6,0208
23-02-2018;DKK;60.205.110;USD;10.000.000;6,0205
23-02-2018;DKK;120.285.532;USD;20.000.000;6,0143
23-02-2018;USD;30.000.000;DKK;180.982.464;6,0327
23-02-2018;USD;40.000.000;DKK;241.953.600;6,0488
23-02-2018;USD;50.000.000;DKK;302.892.145;6,0578
27-02-2018;ILS;8.760.718;DKK;15.176.193;1,7323
27-02-2018;CNH;100.000.000;DKK;95.510.000;0,9551
28-02-2018;DKK;16.815.600;GBP;2.000.000;8,4078
28-02-2018;DKK;165.573.540;JPY;3.000.000.000;0,0552
28-02-2018;JPY;1.000.000.000;DKK;56.651.000;0,0567
28-02-2018;JPY;500.000.000;DKK;28.317.000;0,0566
02-03-2018;DKK;623.749;RSD;9.852.300;0,0633
02-03-2018;RON;2.202.606;DKK;3.513.597;1,5952
02-03-2018;JPY;500.000.000;DKK;28.469.500;0,0569
05-03-2018;ILS;21.027.444;DKK;36.861.110;1,753
05-03-2018;DKK;563.331;RSD;8.902.199;0,0633
05-03-2018;SEK;50.000.000;DKK;36.797.000;0,7359
05-03-2018;USD;30.000.000;DKK;181.526.397;6,0509
06-03-2018;SAR;20.000.000;DKK;32.618.000;1,6309
06-03-2018;DKK;1.089.002;RSD;17.198.396;0,0633
06-03-2018;RSD;100.000.000;DKK;6.291.700;0,0629
07-03-2018;DKK;300.964.330;USD;50.000.000;6,0193
07-03-2018;DKK;23.130.973;AED;14.032.379;1,6484
07-03-2018;SAR;20.000.000;DKK;32.272.000;1,6136
07-03-2018;TRY;5.000.000;DKK;7.913.500;1,5827
07-03-2018;DKK;299.852.505;USD;50.000.000;5,9971
07-03-2018;DKK;299.883.505;USD;50.000.000;5,9977
08-03-2018;DKK;301.142.605;USD;50.000.000;6,0229
08-03-2018;DKK;36.464.885;AED;22.279.517;1,6367
08-03-2018;HUF;500.000.000;DKK;11.893.500;0,0238
09-03-2018;DKK;181.482.447;USD;30.000.000;6,0494
09-03-2018;DKK;300.232.750;USD;50.000.000;6,0047
09-03-2018;DKK;300.272.250;USD;50.000.000;6,0054
09-03-2018;DKK;1.063.798;KES;17.783.323;0,0598
09-03-2018;RSD;113.920.761;DKK;7.152.743;0,0628
12-03-2018;USD;50.000.000;DKK;299.821.500;5,9964
13-03-2018;DKK;3.037.485;RSD;48.023.486;0,0633
13-03-2018;USD;50.000.000;DKK;302.838.000;6,0568
13-03-2018;DKK;302.811.500;USD;50.000.000;6,0562
14-03-2018;HRK;7.000.000;EUR;940.569;7,4423
16-03-2018;DKK;1.962.862;HRK;1.959.335;1,0018
16-03-2018;EUR;32.351.205;USD;40.000.000;1,2364
19-03-2018;RON;2.207.358;DKK;3.522.723;1,5959
20-03-2018;GBP;2.000.000;DKK;16.879.040;8,4395
20-03-2018;DKK;5.566.051;ILS;3.177.151;1,7519
20-03-2018;USD;50.000.000;DKK;303.118.000;6,0624
20-03-2018;USD;50.000.000;DKK;303.147.500;6,063
21-03-2018;DKK;4.265.697;MAD;6.401.490;0,6664
22-03-2018;DKK;2.266.789;INR;24.347.890;0,0931
22-03-2018;USD;50.000.000;DKK;303.416.000;6,0683
23-03-2018;RON;3.626.402;DKK;5.783.385;1,5948
23-03-2018;HUF;300.000.000;DKK;7.174.200;0,0239
23-03-2018;DKK;242.399.200;USD;40.000.000;6,06
26-03-2018;DKK;310.649.655;USD;50.000.000;6,213
26-03-2018;USD;50.000.000;DKK;299.907.805;5,9982
26-03-2018;JPY;200.000.000;DKK;11.468.600;0,0573
26-03-2018;USD;50.000.000;EUR;40.650.407;1,23
27-03-2018;DKK;310.641.670;USD;50.000.000;6,2128
27-03-2018;DKK;95.185.600;CNH;100.000.000;0,9519
27-03-2018;USD;50.000.000;DKK;299.925.755;5,9985
27-03-2018;RSD;97.852.674;DKK;6.120.685;0,0626
27-03-2018;RSD;29.195.325;DKK;1.826.168;0,0626
27-03-2018;DKK;31.721.599;CHF;5.000.000;6,3443
27-03-2018;DKK;300.286.755;USD;50.000.000;6,0057
28-03-2018;DKK;55.373.150;JPY;1.000.000.000;0,0554
28-03-2018;DKK;524.569;INR;5.637.500;0,0931
28-03-2018;DKK;104.858;RSD;1.661.244;0,0631
28-03-2018;DKK;240.411.808;USD;40.000.000;6,0103
31-03-2018;DKK;83.826.010;GBP;10.000.000;8,3826
31-03-2018;DKK;16.705.740;GBP;2.000.000;8,3529
31-03-2018;DKK;34.011.040;GBP;4.000.000;8,5028
31-03-2018;DKK;25.480.410;GBP;3.000.000;8,4935
31-03-2018;DKK;85.322.471;GBP;10.000.000;8,5322
03-04-2018;JPY;2.000.000.000;DKK;114.738.220;0,0574
03-04-2018;DKK;180.396.600;USD;30.000.000;6,0132
03-04-2018;DKK;1.185.900;INR;12.724.250;0,0932
03-04-2018;EUR;15.000.000;DKK;111.776.174;7,4517
04-04-2018;DKK;552.586;RSD;8.748.991;0,0632
04-04-2018;DKK;28.429.500;JPY;500.000.000;0,0569
04-04-2018;JPY;500.000.000;DKK;28.425.500;0,0569
05-04-2018;RSD;88.698.693;DKK;5.565.843;0,0628
05-04-2018;DKK;778.358;RSD;12.315.788;0,0632
05-04-2018;DKK;251.496;RSD;3.983.153;0,0631
05-04-2018;RON;2.219.458;DKK;3.543.809;1,5967
05-04-2018;USD;50.000.000;DKK;303.828.490;6,0766
05-04-2018;USD;50.000.000;DKK;303.823.490;6,0765
05-04-2018;USD;50.000.000;DKK;303.790.240;6,0758
05-04-2018;USD;50.000.000;DKK;303.765.740;6,0753
06-04-2018;HUF;400.000.000;DKK;9.569.600;0,0239
06-04-2018;USD;50.000.000;DKK;302.735.000;6,0547
06-04-2018;AUD;20.000.000;DKK;93.130.000;4,6565
09-04-2018;DKK;299.092.580;USD;50.000.000;5,9819
09-04-2018;DKK;16.198.613;AED;9.801.303;1,6527
09-04-2018;DKK;23.779.000;CAD;5.000.000;4,7558
09-04-2018;USD;50.000.000;DKK;304.031.895;6,0806
09-04-2018;USD;50.000.000;DKK;304.146.895;6,0829
10-04-2018;RSD;29.195.325;DKK;1.832.007;0,0628
10-04-2018;USD;50.000.000;DKK;303.447.500;6,069
11-04-2018;DKK;143.646;RSD;2.270.365;0,0633
11-04-2018;RSD;60.985.807;DKK;3.828.689;0,0628
11-04-2018;DKK;4.500.805;MAD;6.785.270;0,6633
12-04-2018;GBP;10.000.000;DKK;85.281.631;8,5282
12-04-2018;USD;40.000.000;DKK;240.190.224;6,0048
12-04-2018;DKK;303.968.740;USD;50.000.000;6,0794
12-04-2018;DKK;304.083.725;USD;50.000.000;6,0817
12-04-2018;DKK;623.752;KES;10.309.610;0,0605
12-04-2018;DKK;312.849;KES;5.170.895;0,0605
12-04-2018;DKK;595.455;RSD;9.411.339;0,0633
13-04-2018;USD;50.000.000;DKK;300.784.500;6,0157
16-04-2018;DKK;307.749.385;USD;50.000.000;6,155
16-04-2018;DKK;483.070;RSD;7.641.098;0,0632
16-04-2018;DKK;3.104.108;AED;1.893.211;1,6396
16-04-2018;USD;50.000.000;DKK;302.163.000;6,0433
17-04-2018;DKK;307.703.825;USD;50.000.000;6,1541
17-04-2018;RON;2.276.570;DKK;3.633.860;1,5962
17-04-2018;RSD;100.000.000;DKK;6.267.000;0,0627
17-04-2018;DKK;241.760.800;USD;40.000.000;6,044
17-04-2018;JPY;1.000.000.000;DKK;56.088.000;0,0561
17-04-2018;DKK;56.118.000;JPY;1.000.000.000;0,0561
17-04-2018;DKK;301.207.905;USD;50.000.000;6,0242
17-04-2018;DKK;301.251.405;USD;50.000.000;6,025
18-04-2018;JPY;300.000.000;DKK;16.862.400;0,0562
19-04-2018;DKK;1.297.813;AED;790.193;1,6424
19-04-2018;RSD;52.721.545;DKK;3.308.277;0,0628
19-04-2018;RSD;11.678.130;DKK;732.803;0,0628
19-04-2018;DKK;301.394.000;USD;50.000.000;6,0279
19-04-2018;DKK;11.256.600;JPY;200.000.000;0,0563
20-04-2018;DKK;296.972.905;USD;50.000.000;5,9395
20-04-2018;USD;50.000.000;DKK;300.652.000;6,013
20-04-2018;DKK;300.430.000;USD;50.000.000;6,0086
