Date;GBP/DKK
01-06-2016; 9,5833     
02-06-2016; 9,6215     
03-06-2016; 9,5038     
06-06-2016; 9,4618     
07-06-2016; 9,5244     
08-06-2016; 9,4656     
09-06-2016; 9,4993     
10-06-2016; 9,4235     
13-06-2016; 9,3980     
14-06-2016; 9,3635     
15-06-2016; 9,3818     
16-06-2016; 9,4085     
17-06-2016; 9,4700     
20-06-2016; 9,6600     
21-06-2016; 9,6907     
22-06-2016; 9,6839     
23-06-2016; 9,7281     
24-06-2016; 9,1574     
27-06-2016; 8,9329     
28-06-2016; 8,9758     
29-06-2016; 8,9763     
30-06-2016; 8,9153     
01-07-2016; 8,8707     
04-07-2016; 8,8661     
05-07-2016; 8,7488     
06-07-2016; 8,6678     
07-07-2016; 8,6838     
08-07-2016; 8,7276     
11-07-2016; 8,7414     
12-07-2016; 8,9084     
13-07-2016; 8,8167     
14-07-2016; 8,9262     
15-07-2016; 8,8917     
18-07-2016; 8,9037     
19-07-2016; 8,8487     
20-07-2016; 8,9220     
21-07-2016; 8,9271     
22-07-2016; 8,8834     
25-07-2016; 8,8914     
26-07-2016; 8,8919     
27-07-2016; 8,8953     
28-07-2016; 8,8391     
29-07-2016; 8,8127     
01-08-2016; 8,7841     
02-08-2016; 8,8521     
03-08-2016; 8,8895     
04-08-2016; 8,7595     
05-08-2016; 8,7681     
08-08-2016; 8,7479     
09-08-2016; 8,7007     
10-08-2016; 8,6590     
11-08-2016; 8,6551     
12-08-2016; 8,6126     
15-08-2016; 8,5681     
16-08-2016; 8,6088     
17-08-2016; 8,5954     
18-08-2016; 8,6305     
19-08-2016; 8,5895     
22-08-2016; 8,6366     
23-08-2016; 8,6891     
24-08-2016; 8,7445     
25-08-2016; 8,7045     
26-08-2016; 8,7348     
29-08-2016; 8,7201     
30-08-2016; 8,7383     
31-08-2016; 8,7659     
01-09-2016; 8,8190     
02-09-2016; 8,8652     
05-09-2016; 8,8814     
06-09-2016; 8,8851     
07-09-2016; 8,8364     
08-09-2016; 8,7874     
09-09-2016; 8,7943     
12-09-2016; 8,8369     
13-09-2016; 8,7535     
14-09-2016; 8,7586     
15-09-2016; 8,7664     
16-09-2016; 8,6817     
19-09-2016; 8,6858     
20-09-2016; 8,6839     
21-09-2016; 8,6822     
22-09-2016; 8,6982     
23-09-2016; 8,6080     
26-09-2016; 8,5919     
27-09-2016; 8,6547     
28-09-2016; 8,6500     
29-09-2016; 8,6131     
30-09-2016; 8,5928     
03-10-2016; 8,5264     
04-10-2016; 8,4539     
05-10-2016; 8,4656     
06-10-2016; 8,4192     
07-10-2016; 8,2577     
10-10-2016; 8,2577     
11-10-2016; 8,1590     
12-10-2016; 8,2507     
13-10-2016; 8,2458     
14-10-2016; 8,2658     
17-10-2016; 8,2398     
18-10-2016; 8,3330     
19-10-2016; 8,3312     
20-10-2016; 8,3418     
21-10-2016; 8,3623     
24-10-2016; 8,3649     
25-10-2016; 8,3247     
26-10-2016; 8,3519     
27-10-2016; 8,3029     
