          Mkt-RF     SMB     HML      RF
20140102   -0.88   -0.27    0.12   0.000
20140103    0.03    0.36    0.05   0.000
20140106   -0.34   -0.57    0.26   0.000
20140107    0.68    0.40   -0.41   0.000
20140108    0.04    0.01   -0.11   0.000
20140109    0.02    0.17   -0.38   0.000
20140110    0.27    0.53   -0.77   0.000
20140113   -1.32   -0.08    0.10   0.000
20140114    1.15    0.18   -0.38   0.000
20140115    0.53    0.21    0.21   0.000
20140116   -0.07    0.29   -0.68   0.000
20140117   -0.39    0.03    0.04   0.000
20140121    0.30    0.47   -0.01   0.000
20140122    0.15    0.27    0.21   0.000
20140123   -0.86    0.15   -0.50   0.000
20140124   -2.19   -0.40    0.22   0.000
20140127   -0.65   -0.86    0.46   0.000
20140128    0.73    0.19   -0.03   0.000
20140129   -1.07   -0.41    0.26   0.000
20140130    1.22    0.31   -0.42   0.000
20140131   -0.66   -0.06   -0.39   0.000
20140203   -2.48   -0.89    0.32   0.000
20140204    0.77   -0.04   -0.10   0.000
20140205   -0.23   -0.60    0.20   0.000
20140206    1.21   -0.48    0.23   0.000
20140207    1.33   -0.16   -0.66   0.000
20140210    0.16    0.12   -0.44   0.000
20140211    1.09   -0.19    0.24   0.000
20140212    0.11    0.25   -0.09   0.000
20140213    0.72    0.73   -0.09   0.000
20140214    0.42   -0.37    0.38   0.000
20140218    0.27    0.97   -0.24   0.000
20140219   -0.74   -0.28   -0.40   0.000
20140220    0.70    0.53   -0.14   0.000
20140221   -0.09    0.34   -0.04   0.000
20140224    0.65    0.19    0.25   0.000
20140225   -0.10    0.13   -0.60   0.000
20140226    0.12    0.68   -0.09   0.000
20140227    0.54    0.15    0.01   0.000
20140228    0.15   -0.71    0.83   0.000
20140303   -0.70    0.08    0.15   0.000
20140304    1.67    1.11   -0.12   0.000
20140305    0.01   -0.27    0.28   0.000
20140306    0.16   -0.32    0.76   0.000
20140307    0.04   -0.11    0.52   0.000
20140310   -0.09   -0.11    0.06   0.000
20140311   -0.62   -0.53   -0.19   0.000
20140312    0.13    0.29   -0.16   0.000
20140313   -1.21   -0.13    0.28   0.000
20140314   -0.16    0.68   -0.05   0.000
20140317    0.90   -0.36   -0.01   0.000
20140318    0.82    0.74   -0.42   0.000
20140319   -0.59   -0.17    0.60   0.000
20140320    0.52   -0.48    0.99   0.000
20140321   -0.37   -0.27    0.88   0.000
20140324   -0.64   -0.90    0.96   0.000
20140325    0.30   -0.34    0.14   0.000
20140326   -0.89   -1.19    0.30   0.000
20140327   -0.19   -0.12   -0.24   0.000
20140328    0.41   -0.43    0.52   0.000
20140331    0.97    0.99   -0.16   0.000
20140401    0.87    0.74   -0.41   0.000
20140402    0.29    0.04    0.12   0.000
20140403   -0.31   -0.89    0.79   0.000
20140404   -1.47   -1.15    0.74   0.000
20140407   -1.26   -0.30   -0.02   0.000
20140408    0.50    0.31   -0.22   0.000
20140409    1.20    0.34   -0.93   0.000
20140410   -2.24   -0.71    0.86   0.000
20140411   -1.07   -0.41    0.29   0.000
20140414    0.70   -0.50    0.21   0.000
20140415    0.59   -0.38    0.18   0.000
20140416    1.13    0.04   -0.44   0.000
20140417    0.23    0.33    0.25   0.000
20140421    0.36    0.20   -0.43   0.000
20140422    0.58    0.72   -0.37   0.000
20140423   -0.31   -0.63    0.89   0.000
20140424    0.08   -0.40   -0.17   0.000
20140425   -1.05   -0.96    0.62   0.000
20140428    0.11   -0.65   -0.54   0.000
20140429    0.56   -0.21   -0.22   0.000
20140430    0.35    0.25   -0.04   0.000
20140501    0.04   -0.16   -0.18   0.000
20140502   -0.07    0.23    0.33   0.000
20140505    0.13   -0.30   -0.52   0.000
20140506   -1.03   -0.54    0.16   0.000
20140507    0.45   -0.85    1.17   0.000
20140508   -0.26   -1.00    0.34   0.000
20140509    0.25    0.71   -0.39   0.000
20140512    1.20    1.42   -0.30   0.000
20140513   -0.05   -1.06    0.18   0.000
20140514   -0.60   -1.10   -0.42   0.000
20140515   -0.90    0.33   -0.27   0.000
20140516    0.36    0.26   -0.40   0.000
